BSU	GeneID	Abundance
BSU06700	yerO	178
BSU06710	swrC	31300
BSU06720	yerQ	1880
BSU06730	yefA	1043
BSU06740	yefB	13
BSU06750	yefC	36
BSU06760	yeeA	351
BSU06770	yeeB	764
BSU06780	yeeC	620
BSU06790	yeeD	5
BSU06800	yezA	20
BSU06811	yezG	195
BSU06812	yeeF	784
BSU06820	yeeG	4
BSU06830	rapH	1558
BSU06839	phrH	286
BSU06840	yeeI	2241
BSU06850	yeeK	115
BSU06860	yezE	1675
BSU06870	yesE	46
BSU06880	yesF	236
BSU06890	cotJA	4
BSU06900	cotJB	0
BSU06910	cotJC	14
BSU06920	yesJ	873
BSU06930	yesK	16
BSU06940	yesL	26
BSU06950	yesM	66
BSU06960	yesN	36
BSU06970	yesO	20
BSU06980	yesP	8
BSU06990	yesQ	11
BSU07000	yesR	12
BSU07010	yesS	51
BSU07020	rhgT	17
BSU07030	yesU	6
BSU07040	yesV	11
BSU07050	yesW	18
BSU07060	yesX	25
BSU07070	yesY	16
BSU07080	yesZ	65
BSU07090	yetA	25
BSU07100	lplA	10
BSU07110	lplB	4
BSU07120	lplC	28
BSU07130	lplD	66
BSU07140	yetF	32
BSU07150	yetG	6926
BSU07160	yetH	301
BSU07170	yetI	156
BSU07180	yetI	83
BSU07190	yezD	2
BSU07200	yetJ	2528
BSU07210	yetK	464
BSU07220	yetL	56
BSU07230	yetM	33
BSU07240	yetN	115
BSU07250	yetO	240
BSU07260	ltaSA	16695
BSU07270	yfnH	10
BSU07280	yfnG	10
BSU07290	yfnF	32
BSU07300	yfnE	55
BSU07310	yfnD	59
BSU07320	yfnC	302
BSU07330	yfnB	261
BSU07340	yfnA	1628
BSU07350	yfmT	12594
BSU07360	yfmS	8863
BSU07370	yfmR	4627
BSU07380	yfmQ	664
BSU07390	yfmP	81
BSU07400	yfmO	65
BSU07410	yfmN	0
BSU07420	yfmM	926
BSU07430	yfmL	531
BSU07440	yfmK	138
BSU07450	yfmJ	1614
BSU07460	yfmI	38
BSU07480	yfmG	346
BSU07490	yfmF	1835
BSU07500	yfmE	740
BSU07510	yfmD	287
BSU07520	yfmC	2825
BSU07530	yfmB	198
BSU07540	yfmA	0
BSU07550	yflT	2002
BSU07560	pel	22042
BSU07570	yflS	315
BSU07580	citS	354
BSU07590	citT	234
BSU07600	yflP	319
BSU07610	citM	272
BSU07620	yflN	117
BSU07630	nosA	442
BSU07640	yflL	37
BSU07650	yflK	1466
BSU07660	yflJ	82
BSU07670	yflI	55
BSU07680	yflH	1124
BSU07690	yflG	3267
BSU07700	nagP	2086
BSU07710	yflE	1829
BSU07720	yflD	8
BSU07735	yflB	68
BSU07750	yflA	2072
BSU07760	yfkT	4
BSU07770	yfkS	0
BSU07780	yfkR	6
BSU07790	yfkQ	5
BSU07800	treP	32
BSU07810	treA	42
BSU07820	treR	612
BSU07830	yfkO	431
BSU07840	yfkN	2822
BSU07850	yfkM	2143
BSU07860	yfkL	284
BSU07870	yfkK	244
BSU07880	yfkJ	1214
BSU07890	yfkI	629
BSU07900	yfkH	1953
BSU07910	yfkF	228
BSU07920	yfkE	807
BSU07930	yfkD	775
BSU07940	yfkC	758
BSU07955	yfkA	352
BSU07970	yfjT	29
BSU07980	pdaA	19
BSU07990	yfjR	691
BSU08000	yfjQ	351
BSU08010	yfjP	332
BSU08020	yfjO	2104
BSU08029	yfzA	10
BSU08030	dusC	334
BSU08040	yfjM	183
BSU08050	yfjL	148
BSU08060	acoA	1
BSU08070	acoB	7
BSU08080	acoC	48
BSU08090	acoL	113
BSU08100	acoR	198
BSU08110	sspH	22
BSU08120	yfjF	227
BSU08130	yfjE	494
BSU08140	yfjD	371
BSU08150	yfjC	503
BSU08160	yfjB	249
BSU08170	yfjA	16
BSU08180	malA	182
BSU08190	malR	53
BSU08200	malP	127
BSU08210	malQ	796
BSU08220	yfiC	2924
BSU08230	catD	19
BSU08240	catE	111
BSU08250	yfiF	25
BSU08260	yfiG	40
BSU08270	yfiH	38
BSU08280	yfiI	81
BSU08290	yfiJ	380
BSU08300	yfiK	344
BSU08310	yfiL	4
BSU08320	yfiM	13
BSU08330	yfiN	41
BSU08340	padR	295
BSU08350	estB	37
BSU08360	yfiQ	30
BSU08370	yfiR	348
BSU08380	yfiS	89
BSU08390	yfiT	1253
BSU08400	yfiU	121
BSU08410	yfiV	240
BSU08425	mprF	3037
BSU08440	yfiY	2384
BSU08450	yfiZ	633
BSU08460	yfhA	1081
BSU08470	yfhB	3381
BSU08480	yfhC	9066
BSU08490	yfhD	124
BSU08500	yfhE	32
BSU08510	yfhF	470
BSU08520	recX	764
BSU08530	yfhH	545
BSU08540	yfhI	192
BSU08550	sspK	2
BSU08560	yfhJ	237
BSU08570	yfhK	1529
BSU08580	yfhL	581
BSU08590	yfhM	2767
BSU08600	csbB	855
BSU08610	yfhO	672
BSU08620	yfhP	381
BSU08630	yfhQ	1066
BSU08640	yfhS	0
BSU08650	fabL	2549
BSU08660	sspE	960
BSU08670	ygaB	7
BSU08680	ygaC	1282
BSU08690	ygaD	1186
BSU08700	ygaE	219
BSU08710	gsaB	2671
BSU08720	ygaF	870
BSU08730	perR	3605
BSU08740	ygzB	142
BSU08750	ygxA	706
BSU08760	spo0M	14404
BSU08770	ygzA	9
BSU08779	ygzC	11
BSU08780	ygaJ	353
BSU08790	thiC	13059
BSU08800	ygaK	52
BSU08810	senS	3
BSU08820	katA	159625
BSU08830	ssuB	2
BSU08840	ssuA	3
BSU08850	ssuC	10
BSU08860	ssuD	66
BSU08870	ygaN	101
BSU08880	rpsN	99
BSU08890	ygaO	649
BSU08899	ygzD	146
BSU08900	yhzB	388
BSU08910	yhbA	114
BSU08920	yhbB	15
BSU08930	cspR	753
BSU08940	yhbD	125
BSU08950	yhbE	381
BSU08960	yhbF	545
BSU08970	prkA	34
BSU08980	yhbH	43
BSU08990	yhbI	109
BSU09000	yhbJ	411
BSU09010	yhcA	1117
BSU09020	yhcB	589
BSU09030	yhcC	283
BSU09040	yhcD	0
BSU09050	yhcE	85
BSU09060	yhcF	137
BSU09070	yhcG	397
BSU09080	yhcH	1288
BSU09090	yhcI	1236
BSU09100	cspB	49454
BSU09110	yhcJ	1541
BSU09120	dgcK	139
BSU09130	tcyP	230
BSU09140	yhcM	148
BSU09150	yhcN	19
BSU09165	yhcO	2
BSU09180	yhcQ	20
BSU09190	yhcR	895
BSU09200	yhcS	311
BSU09210	yhcT	484
BSU09220	yhcU	13
BSU09230	yhcV	25
BSU09240	yhcW	383
BSU09250	yhcX	3630
BSU09259	yhzG	7
BSU09260	yhxA	890
BSU09270	glpP	430
BSU09280	glpF	159
BSU09290	glpK	2031
BSU09300	glpD	1611
BSU09310	pgcA	15483
BSU09320	yhcY	505
BSU09330	yhcZ	339
BSU09340	yhdA	443
BSU09350	yhdB	12
BSU09360	yhdC	37
BSU09370	lytF	3535
BSU09380	nsrR	359
BSU09390	ygxB	690
BSU09400	spoVR	37
BSU09410	phoA	905
BSU09420	lytE	601
BSU09430	citR	162
BSU09440	citA	379
BSU09450	yhdF	1016
BSU09460	ctrA	2065
BSU09470	yhdH	412
BSU09480	yhdI	234
BSU09490	yhdJ	179
BSU09500	yhdK	1004
BSU09510	yhdL	5143
BSU09520	sigM	1274
BSU09530	yhdN	4032
BSU09540	plsC	1984
BSU09550	yhdP	5492
BSU09560	cueR	1522
BSU09570	yhdR	3094
BSU09590	yhdT	2362
BSU09600	crcBA	119
BSU09610	yhdV	245
BSU09620	yhdW	280
BSU09630	yhdX	7
BSU09640	yhdY	200
BSU09650	yhdZ	940
BSU09660	yheN	816
BSU09670	dat	3654
BSU09680	nhaC	409
BSU09690	nhaX	1223
BSU09700	yheJ	121
BSU09710	yheI	1867
BSU09720	yheH	2863
BSU09730	yheG	278
BSU09740	yheF	0
BSU09750	sspB	1
BSU09760	yheE	45
BSU09770	yheD	196
BSU09780	yheC	50
BSU09790	yheB	989
BSU09800	yheA	3510
BSU09810	yhaZ	74
BSU09830	yhaX	68
BSU09840	hemZ	262
BSU09850	yhaU	664
BSU09860	khtT	618
BSU09870	khtS	434
BSU09880	yhaR	46
BSU09889	yhzD	15
BSU09890	natA	314
BSU09900	natB	1095
BSU09910	yhaO	439
BSU09920	yhaN	2467
BSU09930	yhaM	1991
BSU09940	yhaL	58
BSU09950	prsA	11649
BSU09958	yhzE	5
BSU09965	yhaJ	12
BSU09980	yhaI	472
BSU09990	hpr	2143
BSU10000	yhaH	695
BSU10009	yhzF	1
BSU10010	trpP	2989
BSU10020	serC	9024
BSU10030	hinT	1583
BSU10040	ecsA	481
BSU10050	ecsB	2258
BSU10060	ecsC	2177
BSU10070	yhaA	5942
BSU10080	yhfA	64
BSU10090	yhgB	44
BSU10100	yhgC	2290
BSU10110	pbpF	373
BSU10120	hemE	1946
BSU10130	hemH	3844
BSU10140	hemY	4827
BSU10150	yhgD	335
BSU10160	yhgE	1184
BSU10170	fabHB	890
BSU10180	yhfC	64
BSU10200	yhfE	1575
BSU10210	yhfF	580
BSU10220	gltT	6608
BSU10230	yhfH	43
BSU10240	yhfI	1148
BSU10250	yhfJ	2652
BSU10260	yhfK	3712
BSU10270	yhfL	208
BSU10280	yhfM	17
BSU10290	yhfN	155
BSU10300	aprE	497
BSU10310	yhfO	190
BSU10320	yhfP	2460
BSU10330	yhfQ	2602
BSU10340	phoE	4516
BSU10350	yhfS	7410
BSU10360	yhfT	6817
BSU10370	bioY	430
BSU10380	hemAT	2685
BSU10390	yhfW	48
BSU10400	yhxC	9
BSU10410	yhzC	527
BSU10420	comK	823
BSU10430	yhxD	808
BSU10440	yhjA	1257
BSU10450	yhjB	693
BSU10460	yhjC	94
BSU10470	yhjD	4
